source,section,basis,t,ub,lb,event
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,0.07139182090759277,3435543.6363636353,,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,9.049425840377808,3435543.6363636353,-1.3926637620897964e-12,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,15.076944828033447,3288821.8181817844,1737310.8760599028,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,15.114948034286499,3287028.7272726935,1737310.8760599028,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,18.90367603302002,3120465.090909065,1737310.8760599028,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,18.93704390525818,3120398.1818181565,1737310.8760599028,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,18.971144914627075,3116029.2727272366,1737310.8760599028,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,19.210202932357788,3116029.2727272366,2254272.328750997,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,25.293540954589844,3116029.2727272366,2463202.286227664,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,28.494791984558105,3072011.0909090615,2463202.3554474544,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,28.529675006866455,3071710.181818152,2463202.3554474544,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,28.56331181526184,3067200.3636363246,2463202.3554474544,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,28.597142934799194,3033109.727272695,2463202.3554474544,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,28.630663871765137,3028653.090909046,2463202.3554474544,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,30.53946089744568,2978508.909090899,2484124.8694093544,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,30.577298879623413,2977255.181818172,2484124.8694093544,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,30.624982833862305,2977255.181818172,2484124.8694093544,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,31.25096082687378,2969050.2727272618,2484668.692843555,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,31.286625862121582,2864463.454545439,2484668.692843555,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,35.688889026641846,2864463.454545439,2492423.3780542766,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,38.35884189605713,2738854.7272726987,2492423.3780542766,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,40.00373387336731,2733999.090909065,2499241.9623088264,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,40.04860496520996,2732376.6363636097,2499241.9623088264,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,40.08469796180725,2723339.1818181584,2499241.9623088264,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,40.12299084663391,2720567.545454522,2499241.9623088264,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,40.16150403022766,2720496.636363613,2499241.9623088264,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,42.51680898666382,2720496.636363613,2499338.304666194,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,43.00230383872986,2719788.9090909036,2501277.2791141444,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,43.81187701225281,2716847.6363634905,2501300.272954693,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,44.1007878780365,2712665.4545454467,2501404.378735907,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,47.49606204032898,2710074.090909087,2501404.378735907,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,47.536787033081055,2709169.181818177,2501404.378735907,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,47.57195591926575,2707989.9090909045,2501404.378735907,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,47.60930395126343,2707929.181818174,2501404.378735907,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,47.65752387046814,2707929.181818174,2501404.378735907,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,52.97422790527344,2707865.272727268,2504828.7617294486,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,54.29647088050842,2707745.8181818114,2504828.7617294486,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,58.107369899749756,2707525.5454545384,2504828.7617294486,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,58.77980995178223,2707443.9999999953,2504828.7617294486,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,58.82144093513489,2707414.4545454467,2504828.7617294486,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,59.692922830581665,2707295.3636363605,2504828.7617294486,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,63.97402000427246,2707210.2727272687,2504828.7617294486,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,64.44407987594604,2707210.2727272687,2504828.7617294486,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,64.65010786056519,2706864.3636363,2504876.5244469494,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,64.68767499923706,2706691.090909025,2504876.5244469494,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,70.08261394500732,2706691.090909025,2507345.657563399,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,75.36472296714783,2706691.090909025,2513364.248337485,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,82.5340850353241,2706691.090909025,2514830.3740215963,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,87.6736798286438,2706691.090909025,2523650.957113619,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,88.63785982131958,2706574.545454489,2523671.9396990086,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,88.83088088035583,2706573.818181752,2523671.9396990086,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,88.88841700553894,2706563.6363635706,2523671.9396990086,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,88.96502780914307,2706553.454545388,2523671.9396990086,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,89.00334882736206,2706514.3636362986,2523671.9396990086,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,89.04120993614197,2706471.0909090242,2523671.9396990086,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,93.07739186286926,2706471.0909090242,2525896.19325406,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,98.72352600097656,2706471.0909090242,2526950.5066153193,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,101.73525595664978,2704937.6363635706,2526950.5066153193,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,106.02629590034485,2704857.6363635757,2526950.5066153193,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,107.02760982513428,2704821.818181817,2526950.5066153193,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,116.40058183670044,2704713.454545449,2526950.5066153193,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,134.08498883247375,2704689.0909083514,2526950.5066153193,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,151.21997690200806,2704689.0909083514,2526950.5066153193,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,157.16959595680237,2704689.0909083514,2528308.692721645,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,162.90925788879395,2704689.0909083514,2528471.597183574,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,168.39411902427673,2704689.0909083514,2528471.597183574,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,179.26148986816406,2704689.0909083514,2528471.597183574,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,187.6067419052124,2704689.0909083514,2528471.597183574,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,194.4386749267578,2704689.0909083514,2528471.597183574,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,202.63439989089966,2704689.0909083514,2528471.597183574,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,210.75961804389954,2704689.0909083514,2528471.597183574,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,219.51872491836548,2704689.0909083514,2528471.597183574,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,228.12335395812988,2704689.0909083514,2528471.597183574,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,236.60800695419312,2704689.0909083514,2528471.597183574,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,245.35411381721497,2704689.0909083514,2528471.597183574,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,253.9507908821106,2704689.0909083514,2528471.597183574,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,262.60869884490967,2704689.0909083514,2528471.597183574,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,271.61694288253784,2704689.0909083514,2528471.597183574,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,280.3963580131531,2704689.0909083514,2528471.597183574,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,288.99966192245483,2704689.0909083514,2528471.597183574,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,298.5061068534851,2704689.0909083514,2528471.597183574,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214322Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,300.40515995025635,2704689.090907703,2528471.597183574,final
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,0.059764862060546875,3435543.6363636353,,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,5.611094951629639,3435543.6363636353,-2.5579538487363607e-13,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,13.699373006820679,3435543.6363636353,1981618.5214069905,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,14.816417932510376,3387487.7272726987,1981618.5214069905,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,14.850762844085693,3385382.636363608,1981618.5214069905,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,14.885187864303589,3384337.181818153,1981618.5214069905,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,14.919028997421265,3384312.8181817895,1981618.5214069905,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,14.966867923736572,3383968.363636332,1981618.5214069905,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,23.3976788520813,3343472.7272727173,1981618.5214069905,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,23.431203842163086,3343255.2727272604,1981618.5214069905,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,23.463849782943726,3343051.9999999884,1981618.5214069905,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,23.49681782722473,3323701.090909064,1981618.5214069905,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,23.529278993606567,3323169.45454544,1981618.5214069905,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,23.561652898788452,3322922.9090908943,1981618.5214069905,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,24.068944931030273,3322922.9090908943,2270518.1313815587,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,26.226581811904907,3235434.0909090852,2270518.1313815587,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,26.258518934249878,3234605.9090909036,2270518.1313815587,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,26.290005922317505,3233653.9090909003,2270518.1313815587,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,26.32446789741516,3233330.9999999916,2270518.1313815587,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,30.890232801437378,3233330.9999999916,2270518.1313815587,interval
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,37.321024894714355,3212513.9999999925,2519172.95172154,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,37.354609966278076,3212191.0909090852,2519172.95172154,incumbent
benchmarks/output/affine_timing_20260714/artifacts/20260714T214829Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine/three_station_v0/ean_passenger_service_journey_time.json,root,solver_runtime,37.38598394393921,3206986.99999999,2519172.95172154,incumbent
